Farm,Type,Round,Date,Species,Load,Netted on,Plant pollen,Status,Proportion,Weight
Farm10,HLS,Two,8/6/2015,Lasioglossum xanthopus,0.25,Leucanthemum vulgare,Lychnis flos-cuculi,Sown,2,0.5
Farm10,HLS,Two,8/6/2015,Lasioglossum xanthopus,0.25,Leucanthemum vulgare,Sisymbrium officinale,Wild,2,0.5
Farm10,HLS,Three,1/7/2015,Andrena dorsata,0.5,Heracleum sphondylium,Heracleum sphondylium,Wild,25,12.5
Farm10,HLS,Three,1/7/2015,Andrena dorsata,0.5,Heracleum sphondylium,Rubus fruticosus agg.,Wild,75,37.5
Farm10,HLS,Three,1/7/2015,Andrena semilaevis,0.75,Heracleum sphondylium,Chaerophyllum temulum,Wild,30,22.5
Farm10,HLS,Three,1/7/2015,Andrena semilaevis,0.5,Heracleum sphondylium,Chaerophyllum temulum,Wild,90,45
Farm10,HLS,Three,1/7/2015,Andrena semilaevis,0.5,Daucus carota,Daucus carota,Sown,80,40
Farm10,HLS,Three,1/7/2015,Andrena semilaevis,0.75,Daucus carota,Daucus carota,Sown,90,67.5
Farm10,HLS,Three,1/7/2015,Andrena semilaevis,0.75,Heracleum sphondylium,Heracleum sphondylium,Wild,70,52.5
Farm10,HLS,Three,1/7/2015,Andrena semilaevis,0.5,Daucus carota,Heracleum sphondylium,Wild,20,10
Farm10,HLS,Three,1/7/2015,Andrena semilaevis,0.75,Daucus carota,Heracleum sphondylium,Wild,10,7.5
Farm10,HLS,Three,1/7/2015,Andrena semilaevis,0.5,Heracleum sphondylium,Heracleum sphondylium,Wild,10,5
Farm10,HLS,Three,1/7/2015,Halictus tumulorum,1,Centaurea nigra,Centaurea nigra,Sown,30,30
Farm10,HLS,Three,1/7/2015,Halictus tumulorum,1,Centaurea nigra,Galium aparine,Wild,55,55
Farm10,HLS,Three,1/7/2015,Halictus tumulorum,1,Centaurea nigra,Leucanthemum vulgare,Sown,10,10
Farm10,HLS,Three,1/7/2015,Halictus tumulorum,0.0625,Heracleum sphondylium,Rubus fruticosus agg.,Wild,100,6.25
Farm10,HLS,Three,1/7/2015,Halictus tumulorum,1,Centaurea nigra,Rubus fruticosus agg.,Wild,5,5
Farm10,HLS,Three,1/7/2015,Lasioglossum albipes,0.5,Heracleum sphondylium,Rubus fruticosus agg.,Wild,100,50
Farm10,HLS,Three,1/7/2015,Lasioglossum calceatum,0.125,Knautia arvensis,Knautia arvensis,Sown,100,12.5
Farm10,HLS,Three,1/7/2015,Lasioglossum calceatum,0.5,Rubus fruticosus agg.,Rubus fruticosus agg.,Wild,100,50
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.5,Achillea millefolium,Achillea millefolium,Sown,30,15
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Achillea millefolium,Achillea millefolium,Sown,100,100
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.25,Achillea millefolium,Achillea millefolium,Sown,30,7.5
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.75,Tripleurospermum inodorum,Bryonia dioica,Wild,10,7.5
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,nests,Bryonia dioica,Wild,100,100
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.75,Tripleurospermum inodorum,Bryonia dioica,Wild,25,18.75
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.75,Centaurea scabiosa,Bryonia dioica,Wild,10,7.5
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,nests,Centaurea nigra,Sown,40,40
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Centaurea nigra,Centaurea nigra,Sown,10,10
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.5,Achillea millefolium,Centaurea nigra,Sown,5,2.5
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Centaurea nigra,Centaurea nigra,Sown,30,30
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.5,Centaurea nigra,Centaurea nigra,Sown,10,5
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,nests,Centaurea nigra,Sown,5,5
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.75,nests,Centaurea nigra,Sown,5,3.75
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,nests,Centaurea nigra,Sown,85,85
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.5,Centaurea nigra,Centaurea nigra,Sown,75,37.5
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.25,Leucanthemum vulgare,Centaurea nigra,Sown,50,12.5
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.25,Achillea millefolium,Centaurea nigra,Sown,70,17.5
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,1,Heracleum sphondylium,Centaurea nigra,Sown,40,40
Farm10,HLS,Three,1/7/2015,Lasioglossum malachurum,0.75,Leucanthemum vulgare,Centaurea nigra,Sown,80,60
