Farm,Type,Round,Date,Species,Number,Caste,Visiting,Status,Purpose,Family
Farm11,ELS,Three,6/7/2014,Lasioglossum calceatum,1,Female,Leucanthemum vulgare,Sown,Nectar,Asteraceae
Farm11,ELS,Three,6/7/2014,Lasioglossum calceatum,1,Female,Leucanthemum vulgare,Sown,Pollen,Asteraceae
Farm11,ELS,Three,6/7/2014,Lasioglossum malachurum,1,Female,Achillea millefolium,Sown,Nectar,Asteraceae
Farm11,ELS,Three,6/7/2014,Lasioglossum malachurum,9,Female,Leucanthemum vulgare,Sown,Pollen,Asteraceae
Farm11,ELS,Three,6/7/2014,Lasioglossum malachurum,1,Female,Tripleurospermum inodorum,Wild,Pollen,Asteraceae
Farm11,ELS,Three,6/7/2014,Lasioglossum malachurum,2,Female,Tripleurospermum inodorum,Wild,Pollen,Asteraceae
Farm11,ELS,Four,31/07/2015,Andrena alfkenella,5,Male,Daucus carota,Sown,Nectar,Apiaceae
Farm11,ELS,Four,31/07/2015,Andrena alfkenella,4,Female,Daucus carota,Sown,Pollen,Apiaceae
Farm11,ELS,Four,31/07/2015,Andrena bicolor,1,Female,Clematis vitalba,Wild,Nectar,Ranunculaceae
Farm11,ELS,Four,31/07/2015,Andrena bicolor,1,Female,Rubus fruticosus agg.,Wild,Nectar,Rosaceae
Farm11,ELS,Four,31/07/2015,Andrena dorsata,6,Female,Rubus fruticosus agg.,Wild,Pollen,Rosaceae
Farm11,ELS,Four,31/07/2015,Andrena minutula,2,Male,Daucus carota,Sown,Nectar,Apiaceae
Farm11,ELS,Four,31/07/2015,Andrena minutula,1,Female,Daucus carota,Sown,Pollen,Apiaceae
Farm11,ELS,Four,31/07/2015,Andrena minutula,1,Female,Torilis japonica,Wild,Nectar,Apiaceae
Farm11,ELS,Four,31/07/2015,Andrena minutuloides,1,Male,Daucus carota,Sown,Nectar,Apiaceae
Farm11,ELS,Four,31/07/2015,Andrena minutuloides,3,Female,Daucus carota,Sown,Pollen,Apiaceae
Farm11,ELS,Four,31/07/2015,Andrena minutuloides,3,Female,Torilis japonica,Wild,Pollen,Apiaceae
Farm11,ELS,Four,31/07/2015,Andrena trimmerana,2,Female,Rubus fruticosus agg.,Wild,Pollen,Rosaceae
Farm11,ELS,Four,31/07/2015,Halictus tumulorum,1,Male,Reseda lutea,Wild,Nectar,Resedaceae
Farm11,ELS,Four,31/07/2015,Hylaeus communis,2,Female,Rubus fruticosus agg.,Wild,Nectar,Rosaceae
Farm11,ELS,Four,31/07/2015,Hylaeus signatus,1,Male,Reseda lutea,Wild,Nectar,Resedaceae
Farm11,ELS,Four,31/07/2015,Hylaeus signatus,1,Female,Reseda lutea,Wild,Nectar,Resedaceae
Farm11,ELS,Four,31/07/2015,Lasioglossum calceatum,1,Female,Centaurea nigra,Sown,Nectar,Asteraceae
Farm11,ELS,Four,31/07/2015,Lasioglossum morio,1,Female,Achillea millefolium,Sown,Nectar,Asteraceae
Farm11,ELS,Four,31/07/2015,Lasioglossum morio,1,Female,Convolvulus arvensis,Wild,Nectar,Convolvulaceae
Farm11,ELS,Four,31/07/2015,Lasioglossum morio,1,Female,Rubus fruticosus agg.,Wild,Nectar,Rosaceae
Farm11,ELS,Four,31/07/2015,Lasioglossum morio,1,Male,Senecio jacobea,Wild,Nectar,Asteraceae
Farm11,ELS,Four,31/07/2015,Sphecodes geoffrellus,1,Male,Torilis japonica,Wild,Nectar,Apiaceae
Farm11,ELS,Four,31/07/2015,Sphecodes geoffrellus,1,Female,Torilis japonica,Wild,Nectar,Apiaceae
Farm11,ELS,One,11/5/2015,Andrena bicolor,1,Male,Taraxacum agg.,Wild,Nectar,Asteraceae
Farm11,ELS,One,11/5/2015,Andrena carantonica,1,Female,Alliaria petiolata,Wild,Pollen,Brassicaceae
Farm11,ELS,One,11/5/2015,Lasioglossum calceatum,1,Female,Anthriscus sylvestris,Wild,Nectar,Apiaceae
Farm11,ELS,One,11/5/2015,Lasioglossum calceatum,1,Female,Taraxacum agg.,Wild,Nectar,Asteraceae
Farm11,ELS,One,11/5/2015,Lasioglossum calceatum,1,Female,Taraxacum agg.,Wild,Pollen,Asteraceae
Farm11,ELS,One,11/5/2015,Lasioglossum calceatum,1,Female,Veronica chamaedrys,Wild,Nectar,Veroniaceae
Farm11,ELS,One,11/5/2015,Lasioglossum calceatum,1,Female,Viburnum lantana,Wild,Nectar,Caprifoliaceae
Farm11,ELS,One,11/5/2015,Lasioglossum fulvicorne,2,Female,Alliaria petiolata,Wild,Pollen,Brassicaceae
Farm11,ELS,One,11/5/2015,Lasioglossum fulvicorne,1,Female,Anthriscus sylvestris,Wild,Pollen,Apiaceae
Farm11,ELS,One,11/5/2015,Lasioglossum morio,1,Female,Primula veris,Sown,Nectar,Primulaceae
Farm11,ELS,One,11/5/2015,Lasioglossum pauxillum,1,Female,Taraxacum agg.,Wild,Nectar,Asteraceae
Farm11,ELS,One,11/5/2015,Nomada flava/panzeri,1,Male,Berberis vulgaris,Wild,Nectar,Berberidaceae
Farm11,ELS,One,11/5/2015,Nomada goodeniana,1,Female,Viburnum lantana,Wild,Nectar,Caprifoliaceae
Farm11,ELS,Three,3/7/2015,Andrena chrysosceles,1,Female,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm11,ELS,Three,3/7/2015,Andrena dorsata,1,Female,Trifolium repens,Wild,Nectar,Fabaceae
Farm11,ELS,Three,3/7/2015,Andrena flavipes,1,Female,Trifolium hybridum,Sown,Nectar,Fabaceae
Farm11,ELS,Three,3/7/2015,Andrena flavipes,1,Female,Trifolium repens,Wild,Nectar,Fabaceae
Farm11,ELS,Three,3/7/2015,Andrena nigroaenea,1,Female,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm11,ELS,Three,3/7/2015,Andrena semilaevis,1,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm11,ELS,Three,3/7/2015,Andrena semilaevis,1,Female,Veronica persica,Wild,Nectar,Veroniaceae
Farm11,ELS,Three,3/7/2015,Colletes daviesanus,2,Female,Achillea millefolium,Sown,Pollen,Asteraceae
Farm11,ELS,Three,3/7/2015,Hylaeus brevicornis,1,Female,Daucus carota,Sown,Nectar,Apiaceae
Farm11,ELS,Three,3/7/2015,Hylaeus signatus,9,Female,Reseda lutea,Wild,Nectar,Resedaceae
Farm11,ELS,Three,3/7/2015,Lasioglossum calceatum,1,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm11,ELS,Three,3/7/2015,Lasioglossum malachurum,1,Female,Achillea millefolium,Sown,Pollen,Asteraceae
Farm11,ELS,Three,3/7/2015,Lasioglossum malachurum,1,Female,Centaurea nigra,Sown,Pollen,Asteraceae
Farm11,ELS,Three,3/7/2015,Lasioglossum malachurum,1,Female,Heracleum sphondylium,Wild,Nectar,Apiaceae
Farm11,ELS,Three,3/7/2015,Lasioglossum malachurum,1,Female,Heracleum sphondylium,Wild,Pollen,Apiaceae
Farm11,ELS,Three,3/7/2015,Lasioglossum malachurum,1,Female,Leucanthemum vulgare,Sown,Pollen,Asteraceae
Farm11,ELS,Three,3/7/2015,Lasioglossum malachurum,8,Female,Leucanthemum vulgare,Sown,Pollen,Asteraceae
Farm11,ELS,Three,3/7/2015,Lasioglossum malachurum,1,Female,Rubus fruticosus agg.,Wild,Pollen,Rosaceae
Farm11,ELS,Three,3/7/2015,Lasioglossum malachurum,3,Worker,Veronica persica,Wild,Nectar,Veroniaceae
Farm11,ELS,Three,3/7/2015,Osmia spinulosa,1,Female,Achillea millefolium,Sown,Pollen,Asteraceae
Farm11,ELS,Two,10/6/2015,Andrena carantonica,1,Female,Chaerophyllum temulum,Wild,Nectar,Apiaceae
Farm11,ELS,Two,10/6/2015,Andrena carantonica,2,Female,Leucanthemum vulgare,Sown,Nectar,Asteraceae
